,filename,onsets_essentia-hfc,onsets_essentia-complex,onsets_essentia-phase,onsets_essentia-flux,onsets_essentia-melflux,onsets_essentia-rms,onsets_MIRtoolbox-std,onsets_librosa-std
0,audio/bachFischer1934/Bach_1_Fischer_7_Major_bachFischer1934.wav,67,100,111,97,166,153,99,127
0,audio/bachFischer1934/Bach_1_Fischer_7_minor_bachFischer1934.wav,82,165,205,182,262,271,168,356
0,audio/bachFischer1934/Bach_1_Fischer_8_Major_bachFischer1934.wav,37,60,78,64,95,89,67,90
0,audio/bachFischer1934/Bach_1_Fischer_8_minor_bachFischer1934.wav,50,91,116,100,136,163,105,205
0,audio/bachFischer1934/Bach_1_Fischer_9_Major_bachFischer1934.wav,59,94,113,102,128,148,134,140
0,audio/bachFischer1934/Bach_1_Fischer_9_minor_bachFischer1934.wav,53,71,83,79,106,108,91,70
0,audio/bachGalling1964/Bach_1_Galling_0_Major_bachGalling1964.wav,128,146,145,158,185,213,136,132
0,audio/bachGalling1964/Bach_1_Galling_0_minor_bachGalling1964.wav,128,130,152,129,159,220,157,128
0,audio/bachGalling1964/Bach_1_Galling_10_Major_bachGalling1964.wav,150,204,177,197,235,229,215,244
0,audio/bachGalling1964/Bach_1_Galling_10_minor_bachGalling1964.wav,90,109,154,105,187,253,144,88
0,audio/bachGalling1964/Bach_1_Galling_11_Major_bachGalling1964.wav,140,145,143,145,200,243,154,141
0,audio/bachGalling1964/Bach_1_Galling_11_minor_bachGalling1964.wav,66,68,98,68,127,168,91,66
0,audio/bachGalling1964/Bach_1_Galling_1_Major_bachGalling1964.wav,37,48,44,48,48,52,48,49
0,audio/bachGalling1964/Bach_1_Galling_1_minor_bachGalling1964.wav,89,96,103,103,152,167,104,102
0,audio/bachGalling1964/Bach_1_Galling_2_Major_bachGalling1964.wav,97,123,94,124,132,127,123,129
0,audio/bachGalling1964/Bach_1_Galling_2_minor_bachGalling1964.wav,151,185,157,183,199,197,186,181
0,audio/bachGalling1964/Bach_1_Galling_3_Major_bachGalling1964.wav,133,138,134,139,164,194,161,145
0,audio/bachGalling1964/Bach_1_Galling_3_minor_bachGalling1964.wav,88,94,132,100,177,279,104,62
0,audio/bachGalling1964/Bach_1_Galling_4_Major_bachGalling1964.wav,99,109,100,111,138,165,118,114
0,audio/bachGalling1964/Bach_1_Galling_4_minor_bachGalling1964.wav,137,152,180,152,188,208,172,148
0,audio/bachGalling1964/Bach_1_Galling_5_Major_bachGalling1964.wav,174,197,185,201,217,272,227,168
